#start1	end1	name2	strand2	start2	end2	length2
69908	70225	NODE_1_length_304_cov_2.404605	-	1	318	318
84148	84453	NODE_2_length_292_cov_2.082192	-	1	306	306
13804	14119	NODE_3_length_302_cov_2.456954	+	1	316	316
48013	48073	NODE_4_length_47_cov_1.340425	+	1	61	61
2655628	2655805	NODE_5_length_317_cov_3.574132	+	3	180	178
13173	13503	NODE_5_length_317_cov_3.574132	-	1	331	331
91309	91591	NODE_6_length_269_cov_1.684015	+	1	283	283
8474	9015	NODE_7_length_528_cov_3.179924	-	1	542	542
77926	78604	NODE_8_length_665_cov_4.517293	-	1	679	679
66215	66577	NODE_9_length_349_cov_2.484241	+	1	363	363
3748107	3748206	NODE_9_length_349_cov_2.484241	-	26	125	100
3748226	3748431	NODE_9_length_349_cov_2.484241	-	145	350	206
61790	62787	NODE_10_length_984_cov_2.207317	-	1	998	998
47250	47356	NODE_11_length_93_cov_2.559140	+	1	107	107
74220	74517	NODE_12_length_284_cov_1.922535	+	1	298	298
85812	86091	NODE_13_length_266_cov_2.646616	-	1	280	280
14419	15133	NODE_14_length_701_cov_3.174037	+	1	715	715
65406	65500	NODE_15_length_81_cov_1.530864	-	1	95	95
41139	41665	NODE_16_length_513_cov_2.752437	+	1	527	527
96582	96865	NODE_17_length_270_cov_2.770370	-	1	284	284
79176	79277	NODE_18_length_88_cov_1.647727	+	1	102	102
2184	2379	NODE_19_length_182_cov_1.263736	-	1	196	196
15399	16719	NODE_20_length_1307_cov_3.762816	+	1	1321	1321
2793	3051	NODE_21_length_245_cov_2.322449	+	1	259	259
70258	70547	NODE_22_length_276_cov_2.398551	-	1	290	290
76916	77051	NODE_23_length_122_cov_2.672131	+	1	136	136
20570	20680	NODE_24_length_97_cov_2.391752	+	1	111	111
3581578	3582222	NODE_25_length_703_cov_8.870555	+	1	645	645
19720	20436	NODE_25_length_703_cov_8.870555	-	1	717	717
278385	279027	NODE_25_length_703_cov_8.870555	-	75	717	643
1976527	1977167	NODE_25_length_703_cov_8.870555	-	77	717	641
85061	85674	NODE_26_length_600_cov_2.350000	-	1	614	614
5879	6043	NODE_27_length_151_cov_2.086093	-	1	165	165
88623	89680	NODE_31_length_1044_cov_2.892720	-	1	1058	1058
87136	87657	NODE_32_length_508_cov_2.061024	-	1	522	522
77064	77163	NODE_33_length_86_cov_2.465116	+	1	100	100
95941	96164	NODE_34_length_210_cov_2.047619	+	1	224	224
10768	11300	NODE_35_length_519_cov_2.591522	-	1	533	533
